rank,band,headword,family_size,word_family
1,B1 (1-1000),be,18,am | m | is | isn | s | are | re | aren | ain | been | was | wasn | were | weren | being | bein | beings
2,B1 (1-1000),and,2,ands
3,B1 (1-1000),of,1,
4,B1 (1-1000),to,1,
5,B1 (1-1000),a,2,an
6,B1 (1-1000),in,2,ins
7,B1 (1-1000),have,10,haven | ve | has | hasn | had | hadn | d | having | hafta
8,B1 (1-1000),it,2,its
9,B1 (1-1000),you,5,y | ye | your | yours
10,B1 (1-1000),he,4,him | im | his
11,B1 (1-1000),for,1,
12,B1 (1-1000),they,5,them | em | their | theirs
13,B1 (1-1000),not,2,t
14,B1 (1-1000),that,2,those
15,B1 (1-1000),we,4,us | our | ours
16,B1 (1-1000),on,1,
17,B1 (1-1000),with,1,
18,B1 (1-1000),this,2,these
19,B1 (1-1000),i,3,me | my
20,B1 (1-1000),do,9,does | don | doesn | did | didn | doing | done | doin
21,B1 (1-1000),as,1,
22,B1 (1-1000),at,1,
23,B1 (1-1000),she,3,her | hers
24,B1 (1-1000),but,2,buts
25,B1 (1-1000),from,1,
26,B1 (1-1000),by,1,
27,B1 (1-1000),will,6,wills | willed | willing | won | ll
28,B1 (1-1000),or,1,
29,B1 (1-1000),say,5,says | said | saying | sayings
30,B1 (1-1000),go,7,goes | went | going | gone | goin | gonna
31,B1 (1-1000),so,1,
32,B1 (1-1000),all,1,
33,B1 (1-1000),if,2,ifs
34,B1 (1-1000),one,2,ones
35,B1 (1-1000),would,2,wouldn
36,B1 (1-1000),about,1,
37,B1 (1-1000),can,5,cans | canned | canning | cannot
38,B1 (1-1000),which,1,
39,B1 (1-1000),there,1,
40,B1 (1-1000),know,5,knows | knew | knowing | known
41,B1 (1-1000),more,1,
42,B1 (1-1000),get,7,gets | got | getting | gotten | gettin | gotta
43,B1 (1-1000),who,3,whom | whose
44,B1 (1-1000),like,4,likes | liked | liking
45,B1 (1-1000),when,1,
46,B1 (1-1000),think,5,thinks | thought | thinking | thoughts
47,B1 (1-1000),make,4,makes | made | making
48,B1 (1-1000),time,4,times | timed | timing
49,B1 (1-1000),see,5,sees | saw | seeing | seen
50,B1 (1-1000),what,1,
51,B1 (1-1000),up,4,ups | upped | upping
52,B1 (1-1000),some,1,
53,B1 (1-1000),other,2,others
54,B1 (1-1000),out,5,outs | outed | outing | outings
55,B1 (1-1000),good,2,goodest
56,B1 (1-1000),people,4,peoples | peopled | peopling
57,B1 (1-1000),year,2,years
58,B1 (1-1000),take,5,takes | took | taking | taken
59,B1 (1-1000),no,1,
60,B1 (1-1000),well,4,wells | welled | welling
61,B1 (1-1000),because,2,cos
62,B1 (1-1000),very,1,
63,B1 (1-1000),just,1,
64,B1 (1-1000),come,5,comes | came | coming | cometh
65,B1 (1-1000),could,3,couldn | coulda
66,B1 (1-1000),work,5,works | worked | working | workings
67,B1 (1-1000),use,4,uses | used | using
68,B1 (1-1000),than,1,
69,B1 (1-1000),now,1,
70,B1 (1-1000),then,1,
71,B1 (1-1000),also,1,
72,B1 (1-1000),into,1,
73,B1 (1-1000),only,1,
74,B1 (1-1000),look,4,looks | looked | looking
75,B1 (1-1000),want,5,wants | wanted | wanting | wanna
76,B1 (1-1000),give,5,gives | gave | giving | given
77,B1 (1-1000),first,2,firsts
78,B1 (1-1000),new,3,newer | newest
79,B1 (1-1000),way,2,ways
80,B1 (1-1000),find,4,finds | finding | findings
81,B1 (1-1000),over,2,overs
82,B1 (1-1000),any,1,
83,B1 (1-1000),after,1,
84,B1 (1-1000),day,2,days
85,B1 (1-1000),where,1,
86,B1 (1-1000),thing,2,things
87,B1 (1-1000),most,1,
88,B1 (1-1000),should,3,shouldn | shoulda
89,B1 (1-1000),need,4,needs | needed | needing
90,B1 (1-1000),much,1,
91,B1 (1-1000),right,5,rights | righted | righting | righter
